,File,Line,Index,Context
0,Bay_of_ConcepciC3B3n.html,6,422,"es"":[""Coordinates on Wikidata"",""All stub articles"""
1,Bay_of_ConcepciC3B3n.html,45,628,"18-04-quiriquina.jpg 2x"" data-file-width=""960"" dat"
2,Bay_of_ConcepciC3B3n.html,45,650,"x"" data-file-width=""960"" data-file-height=""1192"" /"
3,Bay_of_ConcepciC3B3n.html,58,447,"aerial photos, and other data for this location""><"
4,Bay_of_ConcepciC3B3n.html,58,692,"aerial photos, and other data for this location"">3"
5,Bay_of_ConcepciC3B3n.html,60,18,
6,Bay_of_ConcepciC3B3n.html,62,568,"ion%2C_Chile.svg.png 2x"" data-file-width=""600"" dat"
7,Bay_of_ConcepciC3B3n.html,62,590,"x"" data-file-width=""600"" data-file-height=""400"" />"
8,Bay_of_ConcepciC3B3n.html,105,40,"tlinks"" class=""catlinks"" data-mw=""interface""><div "
9,Bay_of_ConcepciC3B3n.html,105,748,"egory:Coordinates_on_Wikidata"" title=""Category:Coo"
10,Bay_of_ConcepciC3B3n.html,105,789,"egory:Coordinates on Wikidata"">Coordinates on Wiki"
11,Bay_of_ConcepciC3B3n.html,105,814,"data"">Coordinates on Wikidata</a></li><li><a href="
12,Bay_of_ConcepciC3B3n.html,188,1039,"<a href=""https://www.wikidata.org/wiki/Q4874197"" t"
13,Bay_of_ConcepciC3B3n.html,188,1088,"title=""Link to connected data repository item [g]"""
14,Bay_of_ConcepciC3B3n.html,188,1132,"m [g]"" accesskey=""g"">Wikidata item</a></li><li id="
15,Bay_of_ConcepciC3B3n.html,205,125,"<a href=""https://www.wikidata.org/wiki/Q4874197#si"
16,Bye_My_Boy.html,276,40,"tlinks"" class=""catlinks"" data-mw=""interface""><div "
17,Bye_My_Boy.html,359,999,"<a href=""https://www.wikidata.org/wiki/Q5003998"" t"
18,Bye_My_Boy.html,359,1048,"title=""Link to connected data repository item [g]"""
19,Bye_My_Boy.html,359,1092,"m [g]"" accesskey=""g"">Wikidata item</a></li><li id="
20,Bye_My_Boy.html,376,125,"<a href=""https://www.wikidata.org/wiki/Q5003998#si"
21,Valentin_Yanin.html,101,323,"ernal text"" href=""http://data.bnf.fr/ark:/12148/cb"
22,Valentin_Yanin.html,101,360,"ark:/12148/cb120449899"">(data)</a></span></span></"
23,Valentin_Yanin.html,144,40,"tlinks"" class=""catlinks"" data-mw=""interface""><div "
24,Valentin_Yanin.html,227,1007,"<a href=""https://www.wikidata.org/wiki/Q1980377"" t"
25,Valentin_Yanin.html,227,1056,"title=""Link to connected data repository item [g]"""
26,Valentin_Yanin.html,227,1100,"m [g]"" accesskey=""g"">Wikidata item</a></li><li id="
27,Valentin_Yanin.html,244,125,"<a href=""https://www.wikidata.org/wiki/Q1980377#si"
28,Kings_XI_Punjab_in_2014.html,221,487,"of_Australia.svg.png 2x"" data-file-width=""1280"" da"
29,Kings_XI_Punjab_in_2014.html,221,510,""" data-file-width=""1280"" data-file-height=""640"" />"
30,Kings_XI_Punjab_in_2014.html,229,487,"of_Australia.svg.png 2x"" data-file-width=""1280"" da"
31,Kings_XI_Punjab_in_2014.html,229,510,""" data-file-width=""1280"" data-file-height=""640"" />"
32,Kings_XI_Punjab_in_2014.html,237,485,"of_Australia.svg.png 2x"" data-file-width=""1280"" da"
33,Kings_XI_Punjab_in_2014.html,237,508,""" data-file-width=""1280"" data-file-height=""640"" />"
34,Kings_XI_Punjab_in_2014.html,245,449,"lag_of_India.svg.png 2x"" data-file-width=""1350"" da"
35,Kings_XI_Punjab_in_2014.html,245,472,""" data-file-width=""1350"" data-file-height=""900"" />"
